id,jenis kelamin,pelayanan,produk,kebersihan,Harga,Rekomendasi
1,1,3,3,3,3,1
2,1,2,3,2,3,1
3,2,3,2,3,3,1
4,1,3,3,3,2,1
5,1,3,2,2,3,1
6,1,3,2,3,3,1
7,1,3,3,3,2,1
8,2,3,3,3,3,1
9,1,3,2,2,3,1
10,1,2,3,2,3,1
11,1,3,3,3,3,1
12,1,2,3,3,2,1
13,2,2,3,3,3,1
14,1,3,2,3,3,1
15,1,3,3,3,2,1
16,1,3,2,3,3,1
17,1,5,4,3,2,0
18,1,3,3,2,3,1
19,1,3,3,2,3,1
20,1,5,3,3,3,0
21,1,1,3,2,2,1
22,1,3,2,3,3,1
23,1,3,1,3,2,1
24,1,3,3,3,3,1
25,2,3,3,2,3,1
26,1,3,3,2,1,1
27,1,2,3,3,3,1
28,1,3,3,1,3,1
29,2,2,3,3,3,1
30,2,3,3,3,3,1
31,1,3,3,3,3,1
32,1,3,3,3,2,1
33,1,3,3,3,3,1
34,1,3,3,4,3,1
35,1,3,3,3,3,1
36,1,3,3,3,3,1
37,1,3,3,3,3,1
38,2,2,3,3,3,1
39,1,1,3,3,3,1
40,1,3,3,3,1,1
41,2,3,3,3,3,1
42,1,3,3,3,3,1
43,2,3,3,3,3,1
44,2,3,4,3,3,1
45,2,3,3,3,3,1
46,2,2,3,3,3,1
47,1,3,3,3,3,1
48,1,3,3,3,1,1
49,1,3,3,3,3,1
50,1,3,3,3,3,1
51,1,3,3,3,3,1
52,1,3,3,4,5,0
53,1,3,3,3,3,1
54,1,3,3,3,3,1
55,1,3,3,3,3,1
56,1,2,3,3,3,1
57,1,3,3,3,3,1
58,1,3,3,3,3,1
59,1,3,4,3,4,0
60,1,3,3,3,3,1
61,2,3,3,3,3,1
62,1,3,1,3,2,1
63,1,3,3,3,3,1
64,2,3,3,3,3,1
65,2,3,3,3,3,1
66,1,3,3,3,3,1
67,2,2,3,3,1,1
68,1,3,3,3,3,1
69,1,3,3,3,3,1
70,1,3,3,4,3,1
71,1,3,3,3,3,1
72,1,3,3,3,3,1
73,1,3,3,2,3,1
74,1,3,3,3,3,1
75,1,3,3,3,3,1
76,1,3,4,3,3,1
77,1,2,3,3,3,1
78,2,3,3,3,3,1
79,1,3,3,3,4,1
80,2,2,3,3,3,1
81,2,3,3,3,3,1
82,1,3,3,3,3,1
83,1,3,3,3,3,1
84,2,3,3,3,3,1
85,1,3,3,3,3,1
86,2,3,3,3,3,1
87,1,3,3,3,3,1
88,1,3,1,3,3,1
89,1,3,3,3,3,1
90,2,3,3,3,3,1
91,1,3,3,5,3,0
92,1,3,3,3,3,1
93,1,3,3,3,3,1
94,2,1,3,3,3,1
95,1,3,3,3,2,1
96,1,3,3,3,3,1
97,2,3,3,3,3,1
98,2,3,3,3,3,1
99,2,2,3,3,3,1
100,1,3,3,3,1,1
101,1,1,3,3,3,1
102,2,2,3,4,4,1
103,1,3,4,4,3,0
104,1,4,3,2,4,1
105,1,3,3,3,2,1
106,1,2,3,4,3,1
107,1,2,4,3,4,0
108,1,3,2,2,3,1
109,1,3,3,2,4,1
110,1,3,4,1,4,0
111,2,1,2,3,3,1
112,1,3,3,2,3,1
113,1,3,3,2,4,1
114,1,3,1,3,3,1
115,1,3,2,1,3,1
116,2,3,3,3,3,1
117,2,2,2,3,2,1
118,1,3,1,2,3,1
119,1,3,3,2,2,1
120,1,2,2,2,3,1
121,1,2,3,3,4,1
122,1,3,2,3,3,1
123,1,2,3,2,3,1
124,1,3,2,1,3,1
125,2,1,2,1,2,1 
126,1,3,3,3,4,0
127,2,2,1,3,2,1
128,1,4,3,3,3,0
129,1,4,4,3,4,0
130,1,3,3,3,3,1
131,1,3,3,2,3,1
132,2,3,2,3,3,1
133,2,2,3,3,2,1
134,1,3,3,2,3,1
135,1,2,3,2,3,1
136,1,4,4,3,4,0
137,2,3,3,2,3,1
138,1,3,2,3,3,1
139,1,2,3,3,2,1
140,1,1,3,3,3,1
141,1,3,3,2,3,1
142,1,3,2,2,1,1
143,1,2,3,2,3,1
144,2,3,2,3,2,1
145,2,3,3,4,3,1
146,2,2,4,3,4,0
147,1,3,2,3,3,1
148,2,2,3,3,4,1
149,1,4,2,3,3,1
150,1,3,4,4,3,0
151,1,1,3,3,2,1
152,1,2,3,2,3,1
153,1,3,2,3,1,1
154,1,3,2,2,2,1
155,1,4,3,3,4,0
156,1,3,2,2,2,1
157,2,2,3,3,3,1
158,1,3,4,4,4,0
159,2,2,3,3,3,1
160,1,3,3,3,4,1
161,1,3,3,2,2,1
162,1,2,2,3,3,1
163,1,3,4,3,3,1
164,1,4,3,3,3,1
165,1,3,3,2,2,1
166,2,2,3,2,2,1
167,1,2,3,3,3,1
168,1,3,4,2,3,1
169,1,3,1,2,2,1
170,1,3,2,4,3,1
171,1,2,3,4,4,1
172,2,4,3,2,4,1
173,1,3,2,3,2,1
174,2,3,3,4,3,1
175,1,4,3,3,3,1
176,2,3,1,2,2,1
177,1,2,2,3,3,1
178,2,3,2,2,3,1
179,1,4,3,2,3,1
180,1,3,3,3,4,1
181,2,1,2,2,2,1 
182,1,3,3,4,3,1
183,1,3,4,4,3,0
184,1,2,3,2,2,1
185,1,3,1,3,2,1
186,1,3,2,3,3,1
187,1,3,3,3,2,1
188,2,2,3,2,3,1
189,2,3,2,1,3,1
190,1,3,3,2,4,1
191,2,3,3,3,4,1
